laptop_ID,Price_in_euros
209,1459.6346548821468
1281,443.2277743502498
1168,301.8480351460347
1231,941.7638396553075
1020,915.7846312517268
379,816.2927597351763
553,725.5293049590271
172,949.3062562348449
779,1237.1459884555434
609,344.4045541371694
256,2387.46456708408
117,1448.690694260919
283,369.43406621517545
1195,1986.8067394203006
588,1000.6067367560021
743,713.7902234551082
715,2158.027301900188
160,1338.4905127178856
1021,1896.3045152114903
49,710.7540395532671
690,1972.692622214195
1135,200.73128142490316
852,733.1364354182965
857,1361.7363067092024
210,452.39037057199675
485,763.8646563322496
560,526.6982129809995
1209,749.8737975235565
953,1941.1495616736702
460,1063.1911882371994
1092,1909.4473966360551
152,411.2265497350088
806,879.3880057218139
986,3045.8068418562034
917,2089.9039934708007
408,1991.3518146323704
942,489.5885694994731
959,1507.8522862673144
461,997.555732673782
858,1561.4606369525472
329,542.0948297133688
1293,883.3451008844173
1284,535.9137695689274
628,1242.993705753592
262,1517.5767200040611
933,1073.9576162957005
676,919.5358162417652
608,509.6780645972631
125,729.9355311850227
450,547.5647065146096
67,2257.3724355824525
93,812.4725349796075
769,1178.6188225730684
1070,656.9742319996458
1162,2144.0199713582065
594,1773.862034505678
288,670.8842113955254
273,876.3491700494895
355,865.9786041665704
717,708.3488176462013
18,3034.468434377799
804,1796.1992448990425
60,559.6989180800572
186,1985.7354044137276
298,1207.3414770951524
864,1319.2159054073854
1026,912.7617145329482
240,1229.6660858262287
875,1694.411774396995
276,2073.698765936465
939,1028.9930568100413
436,585.0873536007379
702,1153.640772786203
938,1603.537199569079
558,949.7915769791896
527,1054.4227745125102
624,1558.2392013569909
1128,1865.6836814321182
844,1659.3842759877166
811,1538.035014500209
129,661.5552126745436
994,1180.3177975153785
445,2415.3294823704878
1051,1730.8320463501782
937,1355.4920175623756
1073,1843.521203506281
382,597.6954764418215
765,878.7583814599164
159,926.6498498878809
998,966.2316756190119
696,678.3256273034215
90,1830.306843994543
1082,1332.8853634913255
913,3812.8573375159267
252,3484.5903754868154
